pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,0,0,0,0,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,1,1,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,2,2,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,3,3,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,4,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,5,5,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,6,6,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,7,7,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,8,8,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,9,9,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,10,10,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,11,11,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,12,12,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,13,13,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,14,14,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,15,15,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,16,16,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,17,17,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,18,18,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,19,19,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,20,20,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,21,21,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,0,0,22,22,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,right,2020-07-20_09h35.00.613,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
