pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,0,0,0,0,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,level,2020-09-30_15h36.40.377,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,1,1,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,level,2020-09-30_15h36.40.377,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,2,2,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,level,2020-09-30_15h36.40.377,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,3,3,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,level,2020-09-30_15h36.40.377,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,4,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,level,2020-09-30_15h36.40.377,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,5,5,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,level,2020-09-30_15h36.40.377,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,6,6,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,level,2020-09-30_15h36.40.377,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,7,7,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,level,2020-09-30_15h36.40.377,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,8,8,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,level,2020-09-30_15h36.40.377,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,9,9,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,level,2020-09-30_15h36.40.377,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
